state,year,enrolments,isi,afi,demo_updates,bio_updates,population_density,digital_literacy_index,policy_age_updates,total_bio_updates,pur,afi_normalized,isi_normalized
Karnataka,2021,370537,0.8022759480242364,0.06572620596058566,97891,35548,385.1520439011011,0.5110916828270027,8887.0,35548,0.25,0.33613917098697293,0.7484250306510546
Karnataka,2022,451806,0.8974735402011813,0.06596160010755968,80925,69822,436.1772766153562,0.46151393001394514,17455.5,69822,0.25,0.2950193224525571,0.7721892505095305
Karnataka,2023,635767,0.8315899335650863,0.04866514360108836,119383,48519,315.77386726892024,0.7948704482036877,12129.75,48519,0.25,0.24501468305212445,0.8032033787332719
Gujarat,2019,286639,0.8172545000546059,0.25116569314932113,53131,35840,137.8157353673235,0.4391474411424224,8960.0,35840,0.25,0.27913507931579445,0.7817782626483022
Gujarat,2020,387677,0.8309873063917004,0.3013491287497449,88054,37264,400.2519201230227,0.6349395099099766,9316.0,37264,0.25,0.29922332250817046,0.7696906164442036
Gujarat,2021,422225,0.8042173808304528,0.2750816885567587,101112,77213,385.80065572408023,0.6210029760680338,19303.25,77213,0.25,0.3766279827106401,0.7264126638127439
Gujarat,2022,368837,0.8189722990697818,0.23893670586355004,95583,53703,164.85502086381683,0.8746720669235022,13425.75,53703,0.25,0.36834767119350825,0.7308084202955336
Gujarat,2023,576086,0.8612225008151586,0.2245961564558833,100593,48777,400.610944659244,0.8251846136838091,12194.25,48777,0.25,0.23811679159014454,0.8076782471512036
Andhra Pradesh,2019,800589,0.754849617868838,0.23302722515402416,180873,42238,485.3947853587124,0.6451652011744742,10559.5,42238,0.25,0.26549390511236104,0.7902053071612476
Andhra Pradesh,2020,969283,0.738960219552474,0.15211800547527723,178349,154128,186.9866906868328,0.5148157612516628,38532.0,154128,0.25,0.3032602449439431,0.7673064561583498
Andhra Pradesh,2021,887497,0.6763199983005603,0.1688764187450593,145033,177189,431.87488273679855,0.4753395651918492,44297.25,177189,0.25,0.3131557064418246,0.7615243151245461
Andhra Pradesh,2022,970561,0.6604766541075633,0.18878369897662484,216643,50739,424.9725344908886,0.661419111573101,12684.75,50739,0.25,0.2624227122251976,0.7921277004256041
Andhra Pradesh,2023,1028092,0.669954161520736,0.15126694232894092,259253,135339,364.44132829310536,0.5307372263355945,33834.75,135339,0.25,0.350899773561121,0.7402473666598445
Odisha,2019,399274,0.9576893804413827,0.16021621911358,58640,25280,189.93896600921607,0.8282898018002233,6320.0,25280,0.25,0.19435275024168866,0.8372735775068467
Odisha,2020,514968,0.8296169731428933,0.17001634319738354,142400,38464,152.48095608013435,0.5870315258825041,9616.0,38464,0.25,0.33254105109443693,0.7504459237324691
Odisha,2021,493659,0.8828660672734105,0.1548528202098297,129068,87655,133.96629091875354,0.6846302221122895,21913.75,87655,0.25,0.39462311028462965,0.717039602044103
Odisha,2022,495646,0.7685134063085229,0.14559342668279818,90267,55317,119.51612496602365,0.5936454064594417,13829.25,55317,0.25,0.2658242979868697,0.7899990556275236
Odisha,2023,605604,0.7364283659760578,0.1326049670279405,149910,102152,131.02704486117997,0.824561858235602,25538.0,102152,0.25,0.3740464065627043,0.7277774573142594
Telangana,2019,369487,0.6005823860854947,0.27374392589059593,68728,49724,219.93241827131178,0.7242711677101221,12431.0,49724,0.25,0.2869410831774866,0.7770363484946626
Telangana,2020,313856,0.6209324244628482,0.2858900415460251,31847,35609,248.3337542524184,0.5383942242337827,8902.25,35609,0.25,0.18656246813825447,0.8427706310052301
Telangana,2021,347784,0.6155576706570676,0.2815636472353338,60787,20165,301.4135815317142,0.7757406509686554,5041.25,20165,0.25,0.21826981689784464,0.8208362270242904
Telangana,2022,417138,0.5868941334457358,0.20131258740313956,47322,68298,328.8365583391167,0.513739933609203,17074.5,68298,0.25,0.23624196309135106,0.8089031353533709
Telangana,2023,421985,0.5725596648494194,0.19058935238683994,85122,40612,457.2381256223681,0.5014733815552941,10153.0,40612,0.25,0.2738983613161605,0.784991982379838
Kerala,2019,733754,0.6883994428831629,0.14774006510348328,149960,66357,239.4064444419697,0.5711645786994735,16589.25,66357,0.25,0.2721998789785132,0.7860400056026805
Kerala,2020,957414,0.6226739111085602,0.12312410686946731,121212,71968,169.2586972730994,0.45095420394623015,17992.0,71968,0.25,0.1829804034618253,0.8453225404864199
Kerala,2021,825266,0.6671210446903599,0.1240512875586948,115184,141056,310.2546980094554,0.7467488250939415,35264.0,141056,0.25,0.26776336357004893,0.7887907386627568
Kerala,2022,877873,0.6639622109915354,0.10334283092219645,129134,141649,132.96010474369413,0.7995045982289515,35412.25,141649,0.25,0.26811480703928703,0.7885721343596135
Kerala,2023,1108803,0.6192732677847422,0.08869015259527538,197935,204570,122.73054881755496,0.6625255884190968,51142.5,204570,0.25,0.31688451420135044,0.7593680305417435
Jharkhand,2019,241147,0.733837621713082,0.09045693065511197,67694,47286,366.13613729817166,0.8662845143201677,11821.5,47286,0.25,0.427782638805376,0.7003867205141945
Jharkhand,2020,377347,0.7387672408146829,0.09898422328447314,72514,46352,173.96552871398563,0.789638131585338,11588.0,46352,0.25,0.28429535679361434,0.7786370905339179
Jharkhand,2021,353832,0.7561014660691716,0.09394983779840693,87339,44777,426.1758359582045,0.7579222313612362,11194.25,44777,0.25,0.3417490503967985,0.7452958507436751
Jharkhand,2022,376631,0.7380395727648169,0.08600573720043855,101381,42171,145.07217570684293,0.5910630514655191,10542.75,42171,0.25,0.3531553430280566,0.7390134511550058
Jharkhand,2023,486002,0.7100775312213276,0.10417336611830101,139139,26107,240.58831129164963,0.7118837067942303,6526.75,26107,0.25,0.32658147497335405,0.7538172504784044
Assam,2019,353574,0.882486020600229,0.133483056584232,36793,22704,327.62394856022183,0.5546942431290125,5676.0,22704,0.25,0.15221990304716976,0.8678898857374292
Assam,2020,389118,0.7587884976327198,0.14438786646969823,93477,30279,383.81530818300325,0.6185327267572607,7569.75,30279,0.25,0.29858873143879233,0.7700667469153486
Assam,2021,428689,0.733575877929184,0.15692118630901258,96179,36584,368.54557824979383,0.41047340368113794,9146.0,36584,0.25,0.2883605597531077,0.776180233421328
Assam,2022,531622,0.7176845263330508,0.13529621143339524,78663,92904,119.27371384666557,0.8538773428394358,23226.0,92904,0.25,0.2790347276824511,0.7818396000958876
Assam,2023,481151,0.8173985395280279,0.11000684711224983,120394,91047,215.99681527355864,0.7078483323084855,22761.75,91047,0.25,0.39214144831871905,0.7183178126099858
